Company Name,Exchange:Ticker,Industry Classifications,"Market Capitalization [Latest] ($USDmm, Historical rate)","Total Debt [Latest Quarter] ($USDmm, Historical rate)","EBITDA [LTM] ($USDmm, Historical rate)","EBIT [LTM] ($USDmm, Historical rate)","Interest Expense [LTM] ($USDmm, Historical rate)","Total Common Equity [Latest Quarter] ($USDmm, Historical rate)",S&P Entity Credit Rating - Issuer Credit Rating - Foreign Currency LT [Latest] (Rating)
Hengyang Petrochemical Logistics Limited (Catalist:5PD),Catalist:5PD,Energy (Primary),46.1,138.8,3.02,-1.44,-0.209,66.9,
Madagascar Oil Limited (AIM:MOIL),AIM:MOIL,Energy (Primary),46,0,-10.2,-10.3,-0.078,230.7,
"International Sustainability Group, Inc. (OTCPK:ISGP)",OTCPK:ISGP,Energy (Primary),45.4,,,,,,
"Rock Ridge Resources, Inc. (OTCPK:RRRI)",OTCPK:RRRI,Energy (Primary),44.9,,,,,,
San Leon Energy Plc (AIM:SLE),AIM:SLE,Energy (Primary),44.6,3.25,-16.4,-26.1,-1.98,383.2,
"Nippon Seiro Co., Ltd. (TSE:5010)",TSE:5010,Energy (Primary),44.6,116.6,5.64,-1.98,-1.64,89.8,
Petroneft Resources Plc (ISE:P8ET),ISE:P8ET,Energy (Primary),44.5,28.9,3.61,0.557,-2.79,87.1,
EPI (Holdings) Limited (SEHK:689),SEHK:689,Energy (Primary),44.4,36.3,41.9,-25.2,-4.47,3.96,
Byron Energy Limited (ASX:BYE),ASX:BYE,Energy (Primary),44.4,1.19,-2.53,-3.81,-0.071,26.3,
Petroleum Equipment Assembly and Metal Structure Joint Stock Company (HOSE:PXS),HOSE:PXS,Energy (Primary),44.4,21.3,13.4,10.9,-2.71,32.3,
Coal Creek Company (The) (OTCPK:CCRK),OTCPK:CCRK,Energy (Primary),44.4,,,,,,
Alkane Energy plc (AIM:ALK),AIM:ALK,Energy (Primary),44.3,33.5,11.8,6.71,-1.24,68.7,
HRT Participações em Petróleo S.A. (BOVESPA:HRTP3),BOVESPA:HRTP3,Energy (Primary),44.2,32.9,167,-255.5,-5.67,233.9,
Mapan Energy Ltd. (TSXV:MPG),TSXV:MPG,Energy (Primary),44.2,0,9.19,2.31,-0.015,119.5,
Alphageo (India) Limited (BSE:526397),BSE:526397,Energy (Primary),43.2,,6.53,5.06,-0.095,,
Centrus Energy Corp. (AMEX:LEU),AMEX:LEU,Energy (Primary),43.2,240.4,-22.6,-31.3,-18.9,21.6,NR
Viking Offshore and Marine Limited (Catalist:557),Catalist:557,Energy (Primary),43.2,20.8,2.24,0.329,-0.568,73.9,
TORM A/S (CPSE:TORM),CPSE:TORM,Energy (Primary),43,1439,78,-19.7,-57.4,-164,
"Fuji Kosan Company, Ltd. (TSE:5009)",TSE:5009,Energy (Primary),42.8,0,5.28,2.43,-0.184,68.3,
Tap Oil Ltd. (ASX:TAP),ASX:TAP,Energy (Primary),42.8,64.3,6.07,-73,-1.85,107.7,
iSignthis Ltd (ASX:ISX),ASX:ISX,Energy (Primary),42.4,,,,,,
Manitok Energy Inc. (TSXV:MEI),TSXV:MEI,Energy (Primary),42.3,43,29.4,2.74,-0.803,80.3,
Borders & Southern Petroleum plc (AIM:BOR),AIM:BOR,Energy (Primary),42.1,0,-3.04,-3.04,-0.91,306.1,
"Condor Petroleum, Inc. (TSX:CPI)",TSX:CPI,Energy (Primary),41.6,0,-9.11,-11.3,-0.65,162.9,
Nan Nan Resources Enterprise Limited (SEHK:1229),SEHK:1229,Energy (Primary),41.5,31.5,2.73,1.89,,17.9,
Aqualis ASA (OB:AQUA),OB:AQUA,Energy (Primary),41.2,0,-1.2,-2.1,-0.205,44.4,
Integrated Energy Limited (KOSDAQ:A023430),KOSDAQ:A023430,Energy (Primary),41.1,3.23,-1.16,-1.3,-0.359,38.3,
ENGlobal Corp. (NasdaqCM:ENG),NasdaqCM:ENG,Energy (Primary),41,0.7,9.21,6.88,-0.088,29,
Yoho Resources Inc. (TSXV:YO),TSXV:YO,Energy (Primary),40.9,12.2,8.21,-4.05,-0.377,92,
Striker Exploration Corp. (TSXV:SKX),TSXV:SKX,Energy (Primary),40.8,1.12,-4.28,-5.36,,24.2,
Gulfsands Petroleum plc (AIM:GPX),AIM:GPX,Energy (Primary),40.7,0,-7.04,-22.2,,167.5,
China Leason CBM & Shale Gas Group Company Limited (SEHK:8270),SEHK:8270,Energy (Primary),40.5,19,3.44,-32.6,-2.59,117.5,
"Primeline Energy Holdings, Inc. (TSXV:PEH)",TSXV:PEH,Energy (Primary),40.3,206.9,5.65,0.606,-0.979,73.1,
Gulf Navigation Holding PJSC (DFM:GULFNAV),DFM:GULFNAV,Energy (Primary),40.3,130.9,15.2,5.6,-2.78,79.3,
Saga Tankers Asa (OB:SAGA),OB:SAGA,Energy (Primary),40.2,7.75,-2.09,-2.27,-0.15,48.4,
"Rangeford Resources, Inc. (OTCPK:RGFR)",OTCPK:RGFR,Energy (Primary),40,0.551,,-3.03,-0.123,-1.14,
S.D. Standard Drilling Plc (OB:SDSD),OB:SDSD,Energy (Primary),40,0,-1.07,-1.08,-0.006,54.9,
Active Energy Group PLC (AIM:AEG),AIM:AEG,Energy (Primary),39.9,6.21,-3.4,-3.75,-0.236,4.15,
Frontera Resources Corporation (AIM:FRR),AIM:FRR,Energy (Primary),39.8,37.1,-5.78,-7.05,-4.15,-27.9,
Mesa Royalty Trust (NYSE:MTR),NYSE:MTR,Energy (Primary),39.8,0,,6.53,,4.01,
Ikkuma Resources Corp. (TSXV:IKM),TSXV:IKM,Energy (Primary),39.8,0,-2.27,-6.76,-0.008,133.8,
Loyz Energy Limited (Catalist:594),Catalist:594,Energy (Primary),39.3,44.1,7.79,4.65,-1.38,74,
African Petroleum Corp Ltd (OB:APCL),OB:APCL,Energy (Primary),39.2,0,-16.1,-39.8,,386.4,
CNG Vietnam Joint Stock Company (HOSE:CNG),HOSE:CNG,Energy (Primary),39.1,3.45,10.9,6.45,-0.403,19.4,
"Eco-Stim Energy Solutions, Inc. (OTCPK:ESES)",OTCPK:ESES,Energy (Primary),39,29,-9.2,-9.67,-2.01,7.98,
Qualitech Public Company Limited (SET:QLT-R),SET:QLT-R,Energy (Primary),39,0.258,4,3.17,-0.012,12.6,
Petroshale Inc. (TSXV:PSH),TSXV:PSH,Energy (Primary),38.9,41.4,1.84,-1.61,-2.75,8.88,
Lapidoth-Heletz - Limited Partnership (TASE:LPHL.L),TASE:LPHL.L,Energy (Primary),38.8,0,0.413,0.171,-0.018,46.2,
"JC Chemical Co., Ltd. (KOSDAQ:A137950)",KOSDAQ:A137950,Energy (Primary),38.6,52.9,1.17,-1,-0.645,37.8,
"Petrolia, Inc. (TSXV:PEA)",TSXV:PEA,Energy (Primary),38.5,2.66,-3.05,-3.79,-0.166,62.5,
Havila Shipping ASA (OB:HAVI),OB:HAVI,Energy (Primary),38.4,790,119.2,83.3,-48.5,270.1,
Dolphin Offshore Enterprises (India) Limited (BSE:522261),BSE:522261,Energy (Primary),38.3,13.1,15.9,12.5,-1.29,62.2,
Calvalley Petroleum Inc. (TSX:CVI.A),TSX:CVI.A,Energy (Primary),38.1,0,7,2.25,,105.6,
Central Petroleum Ltd. (ASX:CTP),ASX:CTP,Energy (Primary),38,31.2,-12,-18.5,-1.79,25.8,
Interra Resources Limited (SGX:5GI),SGX:5GI,Energy (Primary),38,1.19,27.3,-6.23,-0.015,71.6,
China Rerun Chemical Group Limited (AIM:CHRR),AIM:CHRR,Energy (Primary),37.9,0.633,8.8,8.7,-0.001,9.2,
"Uranium Resources, Inc. (NasdaqCM:URRE)",NasdaqCM:URRE,Energy (Primary),37.9,4.35,-12.6,-13.6,-2.37,31.1,
Energy International Investments Holdings Limited (SEHK:353),SEHK:353,Energy (Primary),37.9,11,12.2,-3.54,-1.36,107.5,
GOL Offshore Limited (BSE:532786),BSE:532786,Energy (Primary),37.7,,92.4,51.8,-43.3,,
Lynden Energy Corp. (TSXV:LVL),TSXV:LVL,Energy (Primary),37.5,27.4,19.4,8.25,-0.42,74.3,
"SI Resources Co.,Ltd. (KOSDAQ:A065420)",KOSDAQ:A065420,Energy (Primary),37.4,12.4,1.95,0.551,-1.03,15.3,
Traverse Energy Ltd. (TSXV:TVL),TSXV:TVL,Energy (Primary),36.9,0,7.83,2.76,,32.8,
"Propell Technologies Group, Inc. (OTCBB:PROP)",OTCBB:PROP,Energy (Primary),36.5,0.307,-4.11,-4.19,-0.528,-0.238,
Northern Offshore Ltd (OB:NOF),OB:NOF,Energy (Primary),36.5,29,78.3,44.7,-2.08,225.4,NR
Universal Coal plc (ASX:UNV),ASX:UNV,Energy (Primary),36.5,37.2,3.15,-0.091,-3,58.6,
Summit Resources Limited (ASX:SMM),ASX:SMM,Energy (Primary),36.3,0,,-0.286,,40.6,
PetroEnergy Resources Corp. (PSE:PERC),PSE:PERC,Energy (Primary),36.2,60.1,11.7,10.2,-3.41,48.6,
Nagarjuna Oil Refinery Limited (BSE:534184),BSE:534184,Energy (Primary),36.1,1.32,-0.88,-0.886,-0.008,121.6,
Kesar Terminals & Infrastructure Limited (BSE:533289),BSE:533289,Energy (Primary),35.9,,3.61,3.12,-0.311,,
KGN Industries Ltd. (BSE:531612),BSE:531612,Energy (Primary),35.7,,0.023,0.014,-0.001,,
"Aly Energy Services, Inc. (OTCPK:ALYE)",OTCPK:ALYE,Energy (Primary),35.6,30.2,11.1,6.14,-1.32,28.8,
Sevan Drilling ASA (OB:SEVDR),OB:SEVDR,Energy (Primary),35.4,1321.4,126.2,54.6,-54.3,557.7,
Niko Resources Ltd. (TSX:NKO),TSX:NKO,Energy (Primary),35.4,439.2,537,-121.2,-93.8,32.2,
Oilex Ltd. (ASX:OEX),ASX:OEX,Energy (Primary),35.2,0,-4.05,-4.11,0,32.7,
Emerging Market Minerals plc (AIM:EMM),AIM:EMM,Energy (Primary),35.1,0,,-0.304,-0.022,1.14,
Nido Petroleum Ltd. (ASX:NDO),ASX:NDO,Energy (Primary),35.1,10.5,31.5,-5.11,-3.16,78.5,
SC Foraj Sonde SA Craiova (RASDAQ:FOSB),RASDAQ:FOSB,Energy (Primary),35.1,,,,,,
Icon Energy Limited (ASX:ICN),ASX:ICN,Energy (Primary),34.8,0,-5.49,-5.78,-0.026,62.5,
Panoro Energy ASA (OB:PEN),OB:PEN,Energy (Primary),34.3,0,-6.94,-7.02,-12.5,148.1,
HeunguOil (KOSDAQ:A024060),KOSDAQ:A024060,Energy (Primary),34.3,0,1.44,1.06,-0.017,60.6,
Coal of Africa Limited (ASX:CZA),ASX:CZA,Energy (Primary),34.2,0,-32.8,-34.5,-2.67,283.2,
Keaton Energy Holdings Limited (JSE:KEH),JSE:KEH,Energy (Primary),34.1,34,49.9,12.2,-3.81,79.4,
Carboclor S.A. (BASE:CARC),BASE:CARC,Energy (Primary),34,23.5,1.19,-1.04,-4.33,11.9,
Aveda Transportation and Energy Services Inc. (TSXV:AVE),TSXV:AVE,Energy (Primary),33.8,43.2,20.3,5.59,-2.13,62.1,
Dome Energy AB (publ) (OM:DOME),OM:DOME,Energy (Primary),33.6,45.5,9.2,7.24,-0.767,41.6,
PetroVietnam Coating Joint Stock Company (HASTC:PVB),HASTC:PVB,Energy (Primary),33.6,6.1,16.7,9.26,-0.503,18.9,
Hardy Oil & Gas plc (LSE:HDY),LSE:HDY,Energy (Primary),33.4,0,-2.76,-2.79,-0.115,111.4,
African Energy Resources Limited (ASX:AFR),ASX:AFR,Energy (Primary),33.1,0,-4.78,-5.4,-0.289,25,
Petrovietnam Southern Gas Joint Stock Company (HASTC:PGS),HASTC:PGS,Energy (Primary),33,20.6,25.1,12,-1.53,43.8,
Sah Petroleums Limited (BSE:532543),BSE:532543,Energy (Primary),32.7,0,2.51,2.22,,19.6,
Rosan Resources Holdings Limited (SEHK:578),SEHK:578,Energy (Primary),32.6,85.9,-19.9,-27.2,-5.42,98.4,
Berkeley Resources Ltd. (ASX:BKY),ASX:BKY,Energy (Primary),32.4,0,-5.9,-6.04,,26.2,
Bahamas Petroleum Company PLC (AIM:BPC),AIM:BPC,Energy (Primary),32.4,0,-4.54,-4.61,,59.6,
Comet Ridge Ltd. (ASX:COI),ASX:COI,Energy (Primary),32.1,0,0.214,-7.58,,40.9,
US Energy Corp. (NasdaqCM:USEG),NasdaqCM:USEG,Energy (Primary),32.1,6,13.3,-1.71,-0.385,107.4,
Alvopetro Energy Ltd. (TSXV:ALV),TSXV:ALV,Energy (Primary),32,0,-0.724,-1.25,,137.2,
Spyglass Resources Corp. (TSX:SGL),TSX:SGL,Energy (Primary),31.7,150.9,89,4.64,-13.6,230.1,
"AMEN Properties, Inc. (OTCPK:AMEN)",OTCPK:AMEN,Energy (Primary),31.6,0,,,,10.6,
Polarcus Limited (OB:PLCS),OB:PLCS,Energy (Primary),31.6,694.4,147.4,31.1,-60.9,492.1,
Chariot Oil & Gas Limited (AIM:CHAR),AIM:CHAR,Energy (Primary),31.6,0,-7.47,-41.4,,162.1,
Resource Generation Limited (ASX:RES),ASX:RES,Energy (Primary),31.3,21.8,-2.96,-3.21,-1.72,161.7,
Safat Energy Holding Company K.S.C. (Closed) (KWSE:SENERGY),KWSE:SENERGY,Energy (Primary),31,5.03,-1.29,-4.96,-0.326,141.1,
Docks des Petroles d'Ambes SA (ENXTPA:DPAM),ENXTPA:DPAM,Energy (Primary),30.9,1.8,9.36,6.03,-0.019,52.7,
"Amazing Energy Oil and Gas, Co. (OTCPK:AMAZ)",OTCPK:AMAZ,Energy (Primary),30.9,3.45,,-0.175,,1.39,
Holloman Energy Corporation (OTCPK:HENC),OTCPK:HENC,Energy (Primary),30.8,0,,-0.346,-0.006,11.7,
Petrolimex Gas Corporation JSC (HOSE:PGC),HOSE:PGC,Energy (Primary),30.5,40.1,,,,30.9,
Heng Huat Resources Group Berhad (KLSE:HHGROUP),KLSE:HHGROUP,Energy (Primary),30.3,7.12,5.8,4.08,-0.612,19.5,
Valeura Energy Inc. (TSX:VLE),TSX:VLE,Energy (Primary),30.1,0,11.5,2.01,,67.3,
Jupiter Energy Limited (ASX:JPR),ASX:JPR,Energy (Primary),29.9,22.2,-0.107,-1.17,-1.93,36.3,
Tethys Petroleum Limited (TSX:TPL),TSX:TPL,Energy (Primary),29.6,10.6,-8.13,-9.4,-1.45,199.7,
Deep Industries Ltd (BSE:532760),BSE:532760,Energy (Primary),29.6,,8.85,6.85,-1.14,,
Cadogan Petroleum PLC (LSE:CAD),LSE:CAD,Energy (Primary),29.6,0,-4.48,-5.51,,143.8,
Spindletop Oil & Gas Co. (OTCPK:SPND),OTCPK:SPND,Energy (Primary),29.5,0,7.79,5.45,0,24.3,
Toro Oil & Gas Ltd. (TSXV:TOO),TSXV:TOO,Energy (Primary),29.3,4.47,0.451,-3.85,-0.242,9.31,
Advanced Holdings Ltd. (SGX:5IA),SGX:5IA,Energy (Primary),29.3,10,1.31,-1.24,-0.173,53.9,
IAHL Corp. (OTCPK:IAHL),OTCPK:IAHL,Energy (Primary),29.2,,,,,,
Kaisun Energy Group Limited (SEHK:8203),SEHK:8203,Energy (Primary),29,0,-16.1,-28.8,,36,
"Gevo, Inc. (NasdaqCM:GEVO)",NasdaqCM:GEVO,Energy (Primary),28.8,40.2,-34.9,-39.8,-12,47,
Cuesta Coal Limited (ASX:CQC),ASX:CQC,Energy (Primary),28.7,0,-2.2,-2.25,-0.021,54.8,
Swala Oil and Gas (Tanzania) plc (DAR:SWALA),DAR:SWALA,Energy (Primary),28.4,0.179,-5.58,-5.58,,-6.23,
"GreenHunter Resources, Inc. (AMEX:GRH)",AMEX:GRH,Energy (Primary),28.4,11.9,-3.28,-6.52,-1.43,-27.4,
Reach Subsea ASA (OB:REACH),OB:REACH,Energy (Primary),28.4,9.32,4.64,2.81,,20.6,
Sinostar PEC Holdings Limited (SGX:C9Q),SGX:C9Q,Energy (Primary),28.2,0,9.14,3.08,,80.8,
Forbes Energy Services Ltd. (NasdaqGM:FES),NasdaqGM:FES,Energy (Primary),28,297.9,71.8,16.8,-28.2,113.9,B
"Americas Petrogas, Inc. (TSXV:BOE)",TSXV:BOE,Energy (Primary),27.8,4.47,1.75,-26.9,-0.089,123.8,
Public Joint Stock Company Expo Nafta Product (UKR:EXPN),UKR:EXPN,Energy (Primary),27.8,20.3,-0.125,-0.124,-1.86,20.1,
Petromanas Energy Inc. (TSXV:PMI),TSXV:PMI,Energy (Primary),27.8,0,-3.83,-29.1,,93.5,
Rompetrol Well Services S.A. (BVB:PTR),BVB:PTR,Energy (Primary),27.7,0,9.44,6.35,,49.8,
PostRock Energy Corporation (NasdaqGM:PSTR),NasdaqGM:PSTR,Energy (Primary),27.7,147,45.1,16.2,-19.7,18.2,
United Drilling Tools Ltd (BSE:522014),BSE:522014,Energy (Primary),27.6,,6.52,5.44,-0.149,,
UK Oil & Gas Investments PLC (AIM:UKOG),AIM:UKOG,Energy (Primary),27.4,0,,-1.44,,5.92,
Trans Energy Inc. (OTCPK:TENG),OTCPK:TENG,Energy (Primary),27.4,104.3,5.06,-5.78,-20.8,-26.6,
"Lilis Energy, Inc. (NasdaqGM:LLEX)",NasdaqGM:LLEX,Energy (Primary),27.2,6.68,-6.25,-7.98,-6.17,7.22,
Trinity Exploration & Production plc (AIM:TRIN),AIM:TRIN,Energy (Primary),27.1,18.9,33.1,-2.94,-2.24,196.7,
Geospatial Corporation (OTCPK:GSPH),OTCPK:GSPH,Energy (Primary),27,1.79,-2.69,-2.77,-0.162,-5.21,
Empire Oil & Gas NL (ASX:EGO),ASX:EGO,Energy (Primary),27,0.463,4.07,-1.07,-0.236,37.9,
Cauldron Energy Limited (ASX:CXU),ASX:CXU,Energy (Primary),26.8,0,-2.33,-3.24,-0.046,11.7,
"Joong Ang Enervis Co.,Ltd. (KOSDAQ:A000440)",KOSDAQ:A000440,Energy (Primary),26.7,17.2,4.31,2.72,-0.397,43.4,
Egdon Resources plc (AIM:EDR),AIM:EDR,Energy (Primary),26.3,0,0.917,-2.5,-0.098,61.5,
Petrolympic Ltd. (TSXV:PCQ),TSXV:PCQ,Energy (Primary),26.3,0,-1.31,-1.32,-0.004,0.632,
Antares Energy Ltd. (ASX:AZZ),ASX:AZZ,Energy (Primary),25.7,78.7,1.38,-5.97,-3.55,106,
Royale Energy Inc. (NasdaqCM:ROYL),NasdaqCM:ROYL,Energy (Primary),25.7,1.48,-3.47,-4.05,-0.082,-1.28,
U.S. Oil and Gas PLC (OTCPK:USOP.Y),OTCPK:USOP.Y,Energy (Primary),25.6,0,,-0.492,,5.48,
Petrotec AG (DB:PT8),DB:PT8,Energy (Primary),25.3,17.4,0.523,-2.79,-1.95,29.2,
National Tubes Limited (DSE:NTLTUBES),DSE:NTLTUBES,Energy (Primary),25.2,1.69,,,,72.4,
Empyrean Energy Plc (AIM:EME),AIM:EME,Energy (Primary),25.1,7.67,13.4,8.37,-1.3,36.7,
Guildford Coal Limited (ASX:GUF),ASX:GUF,Energy (Primary),25.1,100,-12.4,-49.4,-3.53,32.2,
"C2E Energy, Inc. (OTCPK:OOGI)",OTCPK:OOGI,Energy (Primary),25,,,,,,
Marine Petroleum Trust (NasdaqCM:MARP.S),NasdaqCM:MARP.S,Energy (Primary),24.9,0,,2.5,,1.11,
Atlas Development & Support Services Limited (AIM:ADSS),AIM:ADSS,Energy (Primary),24.9,0.115,-2.52,-2.53,,18.9,
Virtus Oil and Gas Corp. (OTCBB:VOIL),OTCBB:VOIL,Energy (Primary),24.9,0,-2.35,-2.35,-0.001,0.2,
"HII Technologies, Inc. (OTCPK:HIIT)",OTCPK:HIIT,Energy (Primary),24.6,22.9,0.632,-0.325,-1.44,9.5,
Petro River Oil Corp (OTCBB:PTRC),OTCBB:PTRC,Energy (Primary),24.6,0,-4.4,-9.76,0,13.5,
Blue Energy Limited (ASX:BUL),ASX:BUL,Energy (Primary),24.4,0,-3.81,-3.95,,56.8,
Oil Country Tubular Limited (BSE:500313),BSE:500313,Energy (Primary),24.2,31.7,10.8,7.32,-2.09,38,
Petrel Energy Limited (ASX:PRL),ASX:PRL,Energy (Primary),24.2,0.573,-2.3,-5.01,,11.2,
STW Resources Holding Corp (OTCPK:STWS),OTCPK:STWS,Energy (Primary),24.2,12.1,-12.5,-12.8,-2.12,-20.7,
Canadian Overseas Petroleum Limited (TSXV:XOP),TSXV:XOP,Energy (Primary),24.1,0,-6.72,-7.36,,20.3,
GETECH Group Plc (AIM:GTC),AIM:GTC,Energy (Primary),24.1,0,2.59,2.18,-0.002,12.2,
Molopo Energy Limited (ASX:MPO),ASX:MPO,Energy (Primary),23.8,0,-3.19,-6.47,,48.5,
Kejuruteraan Samudra Timur Bhd (KLSE:SAMUDRA),KLSE:SAMUDRA,Energy (Primary),23.7,3.93,-1.48,-0.871,-0.118,27.4,
Forsys Metals Corp. (TSX:FSY),TSX:FSY,Energy (Primary),23.7,0,-1.31,-1.35,,77.9,
Divergent Energy Services Corp. (TSXV:DVG),TSXV:DVG,Energy (Primary),23.7,4.81,-1.91,-2.05,-1.25,2.78,
North Energy AS (OB:NORTH),OB:NORTH,Energy (Primary),23.6,11.5,-51.8,-57.2,-4.33,59.8,
"Laredo Oil, Inc. (OTCPK:LRDC)",OTCPK:LRDC,Energy (Primary),23.6,0.35,,-0.878,-0.026,-1.33,
Vinacomin - Vang Danh Coal Joint Stock Company (HASTC:TVD),HASTC:TVD,Energy (Primary),23.6,,,,,,
Argos Resources Limited (AIM:ARG),AIM:ARG,Energy (Primary),23.6,0,-1.63,-1.65,,31.1,
Dejour Energy Inc. (TSX:DEJ),TSX:DEJ,Energy (Primary),23.4,4.05,-1.18,-6.8,-0.939,8.97,
InterOil Exploration & Production ASA (OB:IOX),OB:IOX,Energy (Primary),23.3,60.5,5.89,0.884,-12.2,-4.86,
"Barnwell Industries, Inc. (AMEX:BRN)",AMEX:BRN,Energy (Primary),23.2,10.7,5.92,0.071,-0.591,18.4,
PRD Energy Inc. (TSXV:PRD),TSXV:PRD,Energy (Primary),23,0,-4.16,-4.21,,30,
EMS Energy Limited (Catalist:5DE),Catalist:5DE,Energy (Primary),22.9,2.86,-0.645,-0.93,-0.215,28.4,
Trans-Asia Petroleum Corporation (PSE:TAPET),PSE:TAPET,Energy (Primary),22.8,0,-0.278,-0.278,,4.85,
Petrogrand AB (publ) (OM:PETRO),OM:PETRO,Energy (Primary),22.7,0,14.8,-3.01,-0.059,39.7,
Regal Petroleum plc (AIM:RPT),AIM:RPT,Energy (Primary),22.6,0,10.5,-164.8,,114.8,
Carbon Energy Limited (ASX:CNX),ASX:CNX,Energy (Primary),22.5,6.1,-4.49,-3.93,-1.9,111,
Grupo TMM S.A.B. (OTCPK:GTMA.Y),OTCPK:GTMA.Y,Energy (Primary),22.5,744.4,44.4,3.77,-47.8,39.7,NR
P/F Atlantic Petroleum (CPSE:ATLA DKK),CPSE:ATLA DKK,Energy (Primary),22.5,33.3,19.2,-40.5,-1.96,68.8,
Shelton Petroleum AB (publ) (OM:SHEL B),OM:SHEL B,Energy (Primary),22.4,0,3.29,2.97,-0.046,36.6,
Top Ships Inc. (NasdaqGS:TOPS),NasdaqGS:TOPS,Energy (Primary),22.2,26,-4.39,-4.12,,40.1,
Sterling International Enterprises Ltd. (BSE:508998),BSE:508998,Energy (Primary),22.2,53.6,27.3,3.4,-1.83,339.1,
MCW Energy Group Limited (TSXV:MCW),TSXV:MCW,Energy (Primary),22,11.3,-4.61,-7.91,-1.16,-2.22,
Hiap Seng Engineering Ltd (SGX:510),SGX:510,Energy (Primary),21.9,16.9,-3.26,-6.58,-0.566,47.5,
Petrolia SE (OB:PDR),OB:PDR,Energy (Primary),21.9,33.6,30.5,13.3,-5.3,98.1,
Lakes Oil NL (ASX:LKO),ASX:LKO,Energy (Primary),21.8,0,-1.74,-1.74,-0.048,44.3,
Shumbha Coal Limited (BSM:SHUMBA),BSM:SHUMBA,Energy (Primary),21.8,0,-1.01,-1.01,-0.017,4.69,
Magellan Petroleum Corporation (NasdaqCM:MPET),NasdaqCM:MPET,Energy (Primary),21.7,3.5,-9.54,-11.3,-0.237,29.1,
Samson Oil & Gas Limited (ASX:SSN),ASX:SSN,Energy (Primary),21.7,15.5,4.43,-13.7,-0.421,39.9,
Sintana Energy Inc (TSXV:SNN),TSXV:SNN,Energy (Primary),21.5,0,,-5.81,0,1.41,
ZaZa Energy Corporation (NasdaqCM:ZAZA),NasdaqCM:ZAZA,Energy (Primary),21.5,91.8,-12.8,-27.2,-14,-59.4,
Energia Minerals Limited (ASX:EMX),ASX:EMX,Energy (Primary),21.4,0,-2.4,-2.51,,6.84,
Tlou Energy Limited (ASX:TOU),ASX:TOU,Energy (Primary),21.4,0,-1.79,-2.05,,38.7,
CCX Carvão da Colômbia S.A. (BOVESPA:CCXC3),BOVESPA:CCXC3,Energy (Primary),21.2,8.44,-15.1,-15.7,-1.02,77.9,
Hemisphere Energy Corporation (TSXV:HME),TSXV:HME,Energy (Primary),20.9,1.97,4.8,-3.38,-0.182,28.8,
Avoca Inc. (OTCPK:AVOA),OTCPK:AVOA,Energy (Primary),20.8,,,,,,
Cassandra Oil AB (publ) (OM:CASO),OM:CASO,Energy (Primary),20.7,0,-2.71,-3.31,-0.021,8.23,
"Deep Well Oil & Gas, Inc. (OTCPK:DWOG)",OTCPK:DWOG,Energy (Primary),20.6,0,-2.09,-2.19,,22.2,
Canadian Spirit Resources Inc. (TSXV:SPI),TSXV:SPI,Energy (Primary),20.6,0,-0.887,-1.66,-0.021,63.8,
Harvest Natural Resources Inc. (NYSE:HNR),NYSE:HNR,Energy (Primary),20.4,13.7,-35.8,-94,-0.011,113.7,NR
Kivalliq Energy Corp. (TSXV:KIV),TSXV:KIV,Energy (Primary),20.4,0,-2.28,-2.39,,45.5,
Global Energy Development plc (AIM:GED),AIM:GED,Energy (Primary),20.4,0,-4.02,-15,-1.79,55.8,
Petsec Energy Ltd. (ASX:PSA),ASX:PSA,Energy (Primary),20.3,0,-1.58,-3.55,,34.2,
"T-Rex Oil, Inc. (OTCPK:TRXO)",OTCPK:TRXO,Energy (Primary),20.3,0.009,-1.56,-1.58,,3.08,
Pan Pacific Petroleum NL (ASX:PPP),ASX:PPP,Energy (Primary),20.2,0,-5.75,-39.5,0,40.7,
PEDEVCO Corp. (AMEX:PED),AMEX:PED,Energy (Primary),20,30.1,-6.88,-13.3,-9.86,-1.37,
Emerald Resources NL (ASX:EMR),ASX:EMR,Energy (Primary),20,0,-0.763,-0.883,,15.4,
Touchstone Exploration Inc. (TSX:TXP),TSX:TXP,Energy (Primary),20,5.71,6.84,-30.1,-0.251,57.2,
Burshane LPG (Pakistan) Limited (KASE:BPL),KASE:BPL,Energy (Primary),19.7,0.123,1.09,0.499,-0.013,4.72,
"Core Resource Management, Inc. (OTCPK:CRMI)",OTCPK:CRMI,Energy (Primary),19.6,1.27,-1.66,-1.88,-0.406,1.03,
Mega Uranium Ltd. (TSX:MGA),TSX:MGA,Energy (Primary),19.6,0,-2.77,-9.64,-0.022,45.7,
"HKN, Inc. (OTCPK:HKNI)",OTCPK:HKNI,Energy (Primary),19.6,0.667,-3.1,-5.6,-0.166,30.1,
Churchill Mining Plc (AIM:CHL),AIM:CHL,Energy (Primary),19.3,2.39,-1.97,-1.98,,0.248,
Energy Metals Limited (ASX:EME),ASX:EME,Energy (Primary),19.2,0,-1.09,-1.17,,45.5,
Oceanteam Shipping ASA (OB:OTS),OB:OTS,Energy (Primary),19.2,154,18.5,8.29,-15.7,82.5,
Canamax Energy Ltd. (TSXV:CAC),TSXV:CAC,Energy (Primary),19.1,0,1.4,-1.42,-0.005,22.8,
"CGX Energy, Inc. (TSXV:OYL)",TSXV:OYL,Energy (Primary),19.1,0,-6.75,-6.86,,56.2,
